marketplace,seller_id,order_id,order_line_id,sku,category,quantity,unit_price,gross_amount,commission_rate_expected,commission_charged,logistics_fee,campaign_discount,net_paid,order_date,payout_date,is_return,refund_amount,commission_refund
hepsiburada,1001,500000,500000-1,SKU-21,fashion,1,1925,1925,0.1,192.5,31,0,1701.5,2026-01-20,2026-01-27,0,0,0.0
trendyol,1008,500001,500001-3,SKU-77,electronics,1,1780,1780,0.2,356.0,50,0,1374.0,2026-01-18,2026-01-22,0,0,0.0
trendyol,1006,500002,500002-2,SKU-89,fashion,2,1685,3370,0.2,674.0,52,0,2644.0,2026-02-11,2026-02-18,0,0,0.0
hepsiburada,1000,500003,500003-3,SKU-10,cosmetics,1,1411,1411,0.1,133.1,42,100,1135.9,2026-02-23,2026-03-01,0,0,0.0
trendyol,1005,500004,500004-1,SKU-9,fashion,3,1370,4110,0.1,421.0,50,0,3639.0,2026-01-15,2026-01-19,0,0,0.0
trendyol,1007,500005,500005-1,SKU-65,electronics,3,1033,3099,0.15,464.85,22,50,2562.15,2026-01-31,2026-02-07,1,3099,464.85
trendyol,1010,500006,500006-3,SKU-23,fashion,3,1435,4305,0.15,645.75,24,50,3585.25,2026-01-01,2026-01-09,0,0,0.0
hepsiburada,1009,500007,500007-1,SKU-64,home,2,1602,3204,0.2,640.8,24,0,2539.2,2026-01-17,2026-01-23,1,3204,0.0
hepsiburada,1009,500008,500008-1,SKU-54,home,3,918,2754,0.2,560.8,43,0,2150.2,2026-02-14,2026-02-22,0,0,0.0
trendyol,1010,500009,500009-2,SKU-45,cosmetics,1,554,554,0.1,65.4,21,0,467.6,2026-02-02,2026-02-12,0,0,0.0
trendyol,1001,500010,500010-1,SKU-1,fashion,2,1381,2762,0.2,552.4,54,50,2105.6,2026-02-20,2026-02-28,1,2762,0.0
trendyol,1000,500011,500011-2,SKU-51,cosmetics,2,1018,2036,0.15,305.4,30,0,1700.6,2026-01-01,2026-01-11,0,0,0.0
trendyol,1008,500012,500012-2,SKU-84,fashion,3,389,1167,0.1,116.7,23,0,1027.3,2026-02-24,2026-02-28,0,0,0.0
trendyol,1001,500013,500013-1,SKU-98,fashion,1,1768,1768,0.15,265.2,54,50,1398.8,2026-02-08,2026-02-14,1,1768,265.2
trendyol,1004,500014,500014-2,SKU-12,home,1,1735,1735,0.1,165.5,15,100,1454.5,2026-01-27,2026-02-06,1,1735,0.0
trendyol,1007,500015,500015-1,SKU-74,home,3,1464,4392,0.2,878.4,39,100,3374.6,2026-02-16,2026-02-19,0,0,0.0
trendyol,1009,500016,500016-2,SKU-94,cosmetics,2,1929,3858,0.2,771.6,18,100,2968.4,2026-02-09,2026-02-18,0,0,0.0
hepsiburada,1010,500017,500017-2,SKU-15,electronics,1,836,836,0.1,83.6,16,0,736.4,2026-01-01,2026-01-10,1,836,83.6
hepsiburada,1001,500018,500018-3,SKU-40,cosmetics,1,352,352,0.1,35.2,11,0,305.8,2026-01-15,2026-01-19,1,352,35.2
trendyol,1002,500019,500019-3,SKU-8,home,1,1393,1393,0.15,208.95,37,0,1147.05,2026-01-12,2026-01-16,0,0,0.0
hepsiburada,1008,500020,500020-3,SKU-48,electronics,2,407,814,0.1,91.4,30,0,692.6,2026-02-02,2026-02-06,0,0,0.0
hepsiburada,1007,500021,500021-3,SKU-46,electronics,3,1947,5841,0.2,1178.2,49,0,4613.8,2026-01-17,2026-01-24,0,0,0.0
hepsiburada,1007,500022,500022-1,SKU-16,electronics,3,415,1245,0.2,259.0,40,0,946.0,2026-01-12,2026-01-19,0,0,0.0
trendyol,1000,500023,500023-3,SKU-37,electronics,2,1210,2420,0.2,494.0,22,0,1904.0,2026-02-04,2026-02-12,0,0,0.0
hepsiburada,1001,500024,500024-3,SKU-78,fashion,1,1354,1354,0.2,270.8,51,0,1032.2,2026-01-18,2026-01-22,1,1354,270.8
trendyol,1008,500025,500025-1,SKU-16,home,2,941,1882,0.2,368.4,32,0,1481.6,2026-01-23,2026-01-30,0,0,0.0
trendyol,1001,500026,500026-2,SKU-96,home,2,1012,2024,0.15,303.6,32,100,1588.4,2026-01-15,2026-01-22,0,0,0.0
hepsiburada,1006,500027,500027-1,SKU-9,cosmetics,1,616,616,0.15,84.4,57,0,474.6,2026-01-29,2026-02-02,1,616,92.4
hepsiburada,1006,500028,500028-3,SKU-81,home,3,1942,5826,0.1,574.6,13,0,5238.4,2026-02-26,2026-03-05,0,0,0.0
trendyol,1009,500029,500029-2,SKU-5,cosmetics,3,1649,4947,0.15,752.05,48,100,4046.95,2026-01-19,2026-01-28,0,0,0.0
trendyol,1002,500030,500030-2,SKU-6,fashion,2,1284,2568,0.2,513.6,54,50,1950.4,2026-01-31,2026-02-08,0,0,0.0
trendyol,1009,500031,500031-2,SKU-45,home,3,1897,5691,0.1,569.1,33,0,5088.9,2026-01-01,2026-01-06,0,0,0.0
trendyol,1000,500032,500032-3,SKU-27,fashion,2,632,1264,0.15,189.6,20,50,1004.4000000000001,2026-02-04,2026-02-07,0,0,0.0
hepsiburada,1005,500033,500033-2,SKU-30,electronics,3,1124,3372,0.1,337.2,52,0,2982.8,2026-01-23,2026-02-01,0,0,0.0
hepsiburada,1010,500034,500034-3,SKU-83,home,1,222,222,0.1,32.2,12,0,177.8,2026-01-18,2026-01-27,0,0,0.0
trendyol,1003,500035,500035-2,SKU-67,home,3,1848,5544,0.2,1118.8,56,0,4369.2,2026-01-31,2026-02-07,0,0,0.0
hepsiburada,1009,500036,500036-3,SKU-14,fashion,1,821,821,0.2,164.2,35,0,621.8,2026-03-02,2026-03-06,1,821,164.2
trendyol,1005,500037,500037-2,SKU-63,cosmetics,3,839,2517,0.2,503.4,33,0,1980.6,2026-02-27,2026-03-06,0,0,0.0
trendyol,1001,500038,500038-3,SKU-94,electronics,3,716,2148,0.15,332.2,28,50,1737.8,2026-01-16,2026-01-26,1,2148,322.2
trendyol,1003,500039,500039-1,SKU-13,cosmetics,3,1132,3396,0.2,671.2,18,0,2706.8,2026-02-24,2026-03-03,0,0,0.0
trendyol,1006,500040,500040-2,SKU-43,fashion,2,750,1500,0.15,225.0,33,50,1192.0,2026-01-12,2026-01-22,0,0,0.0
trendyol,1005,500041,500041-3,SKU-61,cosmetics,1,741,741,0.15,111.15,52,0,577.85,2026-01-07,2026-01-11,1,741,111.15
trendyol,1006,500042,500042-2,SKU-80,fashion,2,1607,3214,0.1,321.4,46,0,2846.6,2026-02-15,2026-02-19,1,3214,0.0
trendyol,1000,500043,500043-2,SKU-59,cosmetics,1,440,440,0.2,88.0,10,0,342.0,2026-01-26,2026-02-04,0,0,0.0
trendyol,1000,500044,500044-2,SKU-78,cosmetics,2,260,520,0.2,104.0,36,100,280.0,2026-02-17,2026-02-24,0,0,0.0
trendyol,1002,500045,500045-2,SKU-57,home,1,1432,1432,0.15,224.8,30,0,1177.2,2026-02-06,2026-02-14,0,0,0.0
trendyol,1010,500046,500046-1,SKU-17,cosmetics,3,775,2325,0.1,224.5,54,50,1996.5,2026-02-12,2026-02-17,0,0,0.0
hepsiburada,1002,500047,500047-3,SKU-84,cosmetics,2,101,202,0.15,22.3,12,100,67.69999999999999,2026-02-13,2026-02-16,0,0,0.0
hepsiburada,1008,500048,500048-3,SKU-91,electronics,2,623,1246,0.15,178.9,17,0,1050.1,2026-02-18,2026-02-24,1,1246,0.0
trendyol,1004,500049,500049-3,SKU-40,home,3,1279,3837,0.2,759.4,36,100,2941.6,2026-02-19,2026-02-22,0,0,0.0
hepsiburada,1007,500050,500050-1,SKU-15,home,1,164,164,0.2,42.8,26,50,45.2,2026-03-01,2026-03-06,0,0,0.0
hepsiburada,1002,500051,500051-3,SKU-94,electronics,2,336,672,0.15,100.8,33,0,538.2,2026-02-20,2026-02-26,0,0,0.0
trendyol,1004,500052,500052-3,SKU-42,cosmetics,3,1838,5514,0.2,1102.8,37,0,4374.2,2026-02-12,2026-02-21,0,0,0.0
hepsiburada,1009,500053,500053-3,SKU-44,electronics,3,140,420,0.15,63.0,32,100,225.0,2026-01-19,2026-01-23,0,0,0.0
hepsiburada,1004,500054,500054-3,SKU-37,electronics,2,1482,2964,0.15,444.6,23,0,2496.4,2026-01-03,2026-01-07,0,0,0.0
trendyol,1009,500055,500055-3,SKU-3,home,2,710,1420,0.15,213.0,26,0,1181.0,2026-01-30,2026-02-05,0,0,0.0
trendyol,1002,500056,500056-1,SKU-46,cosmetics,3,496,1488,0.1,148.8,31,50,1258.2,2026-02-12,2026-02-20,0,0,0.0
hepsiburada,1000,500057,500057-3,SKU-61,fashion,1,1555,1555,0.2,311.0,46,0,1198.0,2026-02-13,2026-02-19,0,0,0.0
hepsiburada,1009,500058,500058-1,SKU-50,fashion,1,441,441,0.2,98.2,29,0,313.8,2026-01-02,2026-01-10,0,0,0.0
trendyol,1000,500059,500059-2,SKU-71,fashion,2,1614,3228,0.2,645.6,47,0,2535.4,2026-03-01,2026-03-11,0,0,0.0
trendyol,1000,500060,500060-3,SKU-52,fashion,2,180,360,0.15,54.0,56,0,250.0,2026-02-24,2026-03-06,0,0,0.0
trendyol,1007,500061,500061-1,SKU-54,electronics,2,1964,3928,0.15,599.2,60,0,3268.8,2026-01-21,2026-01-24,1,3928,0.0
hepsiburada,1002,500062,500062-2,SKU-29,electronics,3,909,2727,0.15,401.05,18,50,2257.95,2026-02-04,2026-02-12,0,0,0.0
hepsiburada,1008,500063,500063-3,SKU-68,cosmetics,2,247,494,0.2,98.8,54,0,341.2,2026-02-24,2026-02-27,1,494,0.0
trendyol,1008,500064,500064-2,SKU-55,fashion,1,1427,1427,0.15,206.05,41,0,1179.95,2026-01-15,2026-01-20,0,0,0.0
hepsiburada,1004,500065,500065-1,SKU-91,fashion,2,340,680,0.15,102.0,28,100,450.0,2026-01-16,2026-01-26,0,0,0.0
hepsiburada,1006,500066,500066-2,SKU-68,electronics,3,1974,5922,0.2,1176.4,31,50,4664.6,2026-02-14,2026-02-18,0,0,0.0
hepsiburada,1001,500067,500067-2,SKU-79,electronics,1,652,652,0.1,75.2,31,0,545.8,2026-02-16,2026-02-20,1,652,65.2
hepsiburada,1003,500068,500068-2,SKU-96,electronics,1,592,592,0.1,59.2,50,0,482.79999999999995,2026-01-09,2026-01-15,0,0,0.0
hepsiburada,1001,500069,500069-3,SKU-45,home,3,1423,4269,0.15,632.35,45,100,3491.65,2026-02-13,2026-02-16,0,0,0.0
hepsiburada,1001,500070,500070-1,SKU-70,cosmetics,3,290,870,0.15,130.5,41,0,698.5,2026-02-25,2026-03-05,0,0,0.0
hepsiburada,1010,500071,500071-2,SKU-35,electronics,3,926,2778,0.15,416.7,28,0,2333.3,2026-02-28,2026-03-03,0,0,0.0
trendyol,1007,500072,500072-1,SKU-7,electronics,2,826,1652,0.2,330.4,49,0,1272.6,2026-01-22,2026-01-25,0,0,0.0
trendyol,1006,500073,500073-3,SKU-95,electronics,1,530,530,0.1,45.0,10,0,475.0,2026-02-22,2026-02-27,1,530,0.0
trendyol,1007,500074,500074-2,SKU-24,electronics,1,739,739,0.2,139.8,34,50,515.2,2026-01-26,2026-02-02,0,0,0.0
hepsiburada,1006,500075,500075-2,SKU-78,cosmetics,2,735,1470,0.2,294.0,33,50,1093.0,2026-02-17,2026-02-26,0,0,0.0
hepsiburada,1009,500076,500076-2,SKU-17,fashion,1,1269,1269,0.1,126.9,58,0,1084.1,2026-02-03,2026-02-12,0,0,0.0
